Name,Component,Video URL,Image URL,Bilateral,Instruction,Coordination,Muscle,Region,Equipment,Coefficient,Diagnosis,Endurance Option,Loading Side,Location,Method,Movement Direction,Pattern,Prescription,Priority,Sport Task
Staggered Half Back Squat,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Staggered%20Half%20Back%20Squat_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_5ea8e553-d3be-4050-961e-fa3f3e3300b6.png,FALSE,,FALSE,platysma,upper,strength-training:barbells,0.371428571,sup,,unilat,loc-pitch,methodB,lin,pattB,inebil,sup,b
Staggered Quarter Squat - FW,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Staggered%20Quarter%20Squat%20-%20FW_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_12ad806e-0e24-4407-ba21-cec011be3497.png,FALSE,,FALSE,pectoralis_major,lower,strength-training:barbells:olympic-barbell,0.394285714,as,,bilat,loc-home,methodC,lat,pattC,ineuni,as,c
SA Squat Jump - DB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Squat%20Jump%20-%20DB%20SA_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_a2d647aa-94e1-4220-be2a-c971524496e6.png,FALSE,,FALSE,frontalis,core,cardio:cardio-treadmill,0.417142857,main,,quad,loc-gym,methodA,lin,pattA,elbil,main,a
Half Back Squat - BB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Back%20Squat.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_9f457273-4a75-4abc-9e54-64497de95b16.png,FALSE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,0.44,sup,,mono,loc-pitch,methodB,lat,pattB,eluni,sup,b
Sissy Squat - belt,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Sissy%20Squat%20-%20belt_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_7435c06c-bfdc-45ea-97bd-aa479d3861bf.png,FALSE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,0.462857143,as,,bipedal,loc-home,methodC,lin,pattC,inebil,as,c
Half Squat - KS,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Squat%20-%20KS_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_5ec36e7b-0be5-46e0-9c43-208f6d038ded.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,0.485714286,main,,unilat,loc-gym,methodA,lat,pattA,ineuni,main,a
SL Squat - KS,concentric,https://iamaspire.aspire.qa/ExerciseVideo/SL%20Squat%20-%20KS_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_218cf423-66c8-4469-bd0b-e32e1e16ed66.png,FALSE,,FALSE,platysma,upper,strength-training:barbells,0.508571429,sup,,bilat,loc-pitch,methodB,lin,pattB,elbil,sup,b
Deep Back Squat,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Deep%20Back%20Squat%20-%20BB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_e0da274a-dfc9-46a9-809b-e3d55a6ceead.png,FALSE,,FALSE,pectoralis_major,lower,strength-training:barbells:olympic-barbell,0.531428571,as,,quad,loc-home,methodC,lat,pattC,eluni,as,c
Acceleration Squat - FW,concentric,https://iamaspire.aspire.qa/ExerciseVideo/FW%20Acceleration%20Squat_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_df6b262c-48de-4ea7-b996-c069048e078e.png,FALSE,,FALSE,frontalis,core,cardio:cardio-treadmill,0.554285714,main,,mono,loc-gym,methodA,lin,pattA,inebil,main,a
SL Acceleration Squat - FW,concentric,https://iamaspire.aspire.qa/ExerciseVideo/FW%20Acceleration%20SL%20Squat_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_e619de4e-0c0e-4039-8d9b-0b9ff23b84b6.png,FALSE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,0.577142857,sup,,bipedal,loc-pitch,methodB,lat,pattB,ineuni,sup,b
Half Squat - FW,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Half%20Squat%20-%20FW_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_7bc64796-8a2d-4761-af7f-b99b3f341a23.png,FALSE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,0.6,as,,unilat,loc-home,methodC,lin,pattC,elbil,as,c
Split Jerk,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Split%20Jerk_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_d114dbc1-d2ab-48c9-ae06-7fe7f21dd8f4.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,0.622857143,main,,bilat,loc-gym,methodA,lat,pattA,eluni,main,a
Hip thrust -BB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Hip%20thrust%20-BB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_6b8c2beb-6c4d-4a34-9693-a9265ba03f6c.png,FALSE,,FALSE,platysma,upper,strength-training:barbells,0.645714286,sup,,quad,loc-pitch,methodB,lin,pattB,inebil,sup,b
Deadlift - BB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Deadlift%20-%20Barbell.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_031a4de3-228d-44d5-91b7-d21a008884e9.png,FALSE,,FALSE,pectoralis_major,lower,strength-training:barbells:olympic-barbell,0.668571429,as,,mono,loc-home,methodC,lat,pattC,ineuni,as,c
SL RDL - BW,concentric,https://iamaspire.aspire.qa/ExerciseVideo/RDL%20-%20SL%20BW_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_ca92b23b-c4e1-4a53-92b0-228df4259af5.png,TRUE,,FALSE,frontalis,core,cardio:cardio-treadmill,0.691428571,main,,bipedal,loc-gym,methodA,lin,pattA,elbil,main,a
SL Hip Thrust - KB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/15-Oct-2023_45939704-3d41-42f6-a4fd-81d24867852e.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_59d3290b-16e4-4eea-8e68-928cc6c44057.png,TRUE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,0.714285714,sup,,unilat,loc-pitch,methodB,lat,pattB,eluni,sup,b
SL RDL - DB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/02-Oct-2023_09e5f87c-0147-4ac6-a569-676a49e1a68f.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_4cd1369f-2d20-44a4-913b-c42b0f1867ee.png,FALSE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,0.737142857,as,,bilat,loc-home,methodC,lin,pattC,inebil,as,c
SL Crab Hip Thrust,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Hip%20Thrust%20-%20SL%20Crab_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c9d32c6d-4e28-4f06-9228-a945fd0d8e81.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,0.76,main,,quad,loc-gym,methodA,lat,pattA,ineuni,main,a
Push up - Knee,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Push%20up%20-%20Knee_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_deeaa90f-b2f4-4cd8-8bdd-60f121fd3d59.png,FALSE,,FALSE,platysma,upper,strength-training:barbells,0.782857143,sup,,mono,loc-pitch,methodB,lin,pattB,elbil,sup,b
Push up - Jump,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Push%20Up%20-%20Jump_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_43e99606-e305-4709-90f4-d9e938d63217.png,FALSE,,FALSE,pectoralis_major,lower,strength-training:barbells:olympic-barbell,0.805714286,as,,quad,loc-home,methodC,lat,pattC,eluni,as,c
Push Up - Fly,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Push%20Up%20-%20Fly_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_9e461ff7-e9b2-4702-a5bd-da9358aa0d1a.png,FALSE,,FALSE,frontalis,core,cardio:cardio-treadmill,0.828571429,main,,unilat,loc-gym,methodA,lin,pattA,inebil,main,a
Bench press - BB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Bench%20Press%20-%20BB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_752573dc-0d54-4243-801d-c76b4e9fdadb.png,FALSE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,0.851428571,sup,,bilat,loc-pitch,methodB,lat,pattB,ineuni,sup,b
Sled Acceleration,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Sled%20Acceleration%20-%20T_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_099e8ced-177c-423f-92bd-7c5f492cfaa1.png,FALSE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,0.874285714,as,,quad,loc-home,methodC,lin,pattC,elbil,as,c
Military Press - DB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Military%20Press%20-%20DB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_a780fb6a-a386-476d-85d3-0b346cbfb16c.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,0.897142857,main,,mono,loc-gym,methodA,lat,pattA,eluni,main,a
Military Press - BB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/09-Oct-2023_b089b92f-c3dd-45d1-a5fd-42c48ad1da27.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_d9df7886-990f-4239-a892-12f8d6d64fd6.png,FALSE,,FALSE,platysma,upper,strength-training:barbells,0.92,sup,,bipedal,loc-pitch,methodB,lin,pattB,inebil,sup,b
Glute Bridge SL Reach Reflex,concentric,https://iamaspire.aspire.qa/ExerciseVideo/SL%20Hamstring%20Bridge%20Extension_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_968ce622-bea2-4136-ac9c-8d9e91607b8c.png,TRUE,,FALSE,pectoralis_major,lower,strength-training:barbells:olympic-barbell,0.942857143,as,,unilat,loc-home,methodC,lat,pattC,ineuni,as,c
Trx row,concentric,https://iamaspire.aspire.qa/ExerciseVideo/10-Oct-2023_910614e0-c1d8-4f79-b1f9-56367c28a616.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_e56460a2-2aae-411c-9939-52204ad1fe29.png,FALSE,,FALSE,frontalis,core,cardio:cardio-treadmill,0.965714286,main,,bilat,loc-gym,methodA,lin,pattA,elbil,main,a
V-Sit Vertical Throw - MB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/V-Sit%20Vertical%20Throw%20-%20MB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_4a69135a-4a0d-45e9-a7d4-c87e2f7f127f.png,FALSE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,0.988571429,sup,,quad,loc-pitch,methodB,lat,pattB,eluni,sup,b
Throw down - MB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Throw%20down%20-%20MB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_ce137737-12b2-4f20-88d5-50a16e7a21e4.png,FALSE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,1.011428571,as,,mono,loc-home,methodC,lin,pattC,inebil,as,c
Squat Rows - FW,concentric,https://iamaspire.aspire.qa/ExerciseVideo/FW%20Squat%20Rows_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c1aed832-fb30-4d0b-9b95-04a8ecf59a14.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,1.034285714,main,,bipedal,loc-gym,methodA,lat,pattA,ineuni,main,a
Side plank - Row,concentric,https://iamaspire.aspire.qa/ExerciseVideo/09-Oct-2023_088b33c3-5a20-4859-87ca-e1e376d2bb0b.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_817e10da-3974-4200-ad0f-52b7900e4e9f.png,FALSE,,FALSE,platysma,upper,strength-training:barbells,1.057142857,sup,,unilat,loc-pitch,methodB,lin,pattB,elbil,sup,b
SHS Knee Ext Taps to Drop Step Accel,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Split%20Squat%20-%20Knee%20Ext%20Taps%20to%20D_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_07e1a24f-c55c-4fc9-be59-4e84edffcdf1.png,FALSE,,FALSE,pectoralis_major,lower,strength-training:barbells:olympic-barbell,1.08,as,,bilat,loc-home,methodC,lat,pattC,eluni,as,c
Rows Sitting SA - FW,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Rows%20Sitting%20-%20FW_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_d3c22d2b-528f-4af9-a61c-f480c101cf3f.png,FALSE,,FALSE,frontalis,core,cardio:cardio-treadmill,1.102857143,main,,quad,loc-gym,methodA,lin,pattA,inebil,main,a
Rows - Bent Over SA DB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Rows%20-%20Bent%20Over%20SA%20DB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_8e08b7fa-7361-4372-b406-6ce372872a35.png,FALSE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,1.125714286,sup,,mono,loc-pitch,methodB,lat,pattB,ineuni,sup,b
Ankle Jumps (10-5),concentric,https://iamaspire.aspire.qa/ExerciseVideo/Ankle%20Jump%20-%2010-5_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_cc48cb32-11f5-4a5c-8cfc-6d083e9534d8.png,TRUE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,1.148571429,as,,bipedal,loc-home,methodC,lin,pattC,elbil,as,c
Donkey Calf,concentric,https://iamaspire.aspire.qa/ExerciseVideo/26-Sep-2023_e8379cf3-a103-4872-a686-28877b22ea3e.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_a6dbbd41-9c81-4761-9cee-2a9d8d0d78cb.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,1.171428571,main,,unilat,loc-gym,methodA,lat,pattA,eluni,main,a
ZigZag 8 - EC Side,concentric,https://iamaspire.aspire.qa/ExerciseVideo/ZigZag%208%20-%20EC%20Side_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_1a37f0fc-eca6-4b69-b897-ef6a3122e48a.png,FALSE,,FALSE,platysma,upper,strength-training:barbells,1.194285714,sup,,bilat,loc-pitch,methodB,lin,pattB,inebil,sup,b
Zig-Zag - EC Side,spine,https://iamaspire.aspire.qa/ExerciseVideo/Zig-Zag%20-%20EC%20Side_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_6cee2d4e-e53a-4ab0-8b78-71a23bcc220c.png,FALSE,,FALSE,pectoralis_major,lower,strength-training:barbells:olympic-barbell,1.217142857,as,,quad,loc-home,methodC,lat,pattC,ineuni,as,c
Toe Back Squat,spine,https://iamaspire.aspire.qa/ExerciseVideo/Toe%20Back%20Squat_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_e3cbbf88-9e3d-467c-ac24-bd2bcc46f520.png,FALSE,,FALSE,frontalis,core,cardio:cardio-treadmill,1.24,main,,mono,loc-gym,methodA,lin,pattA,elbil,main,a
Toe Squat,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Toe%20Squat_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_4ba85514-c549-4dfb-8ec5-34baabef1ef6.png,FALSE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,1.262857143,sup,,bipedal,loc-pitch,methodB,lat,pattB,eluni,sup,b
Sprinter Plank - Wall,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Sprinter%20Plank%20-%20Wall_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_fcb30d86-a9fe-493a-b70b-3f5f5228f791.png,FALSE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,1.285714286,as,,unilat,loc-home,methodC,lin,pattC,inebil,as,c
Sled Side Run,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Sled%20Side%20Run_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_84a0c4dc-61c9-4cf8-b6a2-754add9f80cf.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,1.308571429,main,,bilat,loc-gym,methodA,lat,pattA,ineuni,main,a
Sled March - T,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Sled%20March%20-%20T_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_567524f0-e30b-4ac2-a966-82482a013399.png,FALSE,,FALSE,platysma,upper,strength-training:barbells,1.331428571,sup,,quad,loc-pitch,methodB,lin,pattB,elbil,sup,b
Sled Lateral Pull Alt - T,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Sled%20Lateral%20Pull%20Alt%20-%20T_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_7679b43c-7544-45eb-8d44-7eedfea791c2.png,FALSE,,FALSE,pectoralis_major,lower,strength-training:barbells:olympic-barbell,1.354285714,as,,mono,loc-home,methodC,lat,pattC,eluni,as,c
Sled Crawl,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Sled%20Crawl_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_90d024d0-c653-44c0-a38b-b21e3b56eb1e.png,FALSE,,FALSE,frontalis,core,cardio:cardio-treadmill,1.377142857,main,,bipedal,loc-gym,methodA,lin,pattA,inebil,main,a
Sled Carioca,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Sled%20Carioca_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c856ea55-b32c-461a-a4ec-40cbcd7a668e.png,FALSE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,1.4,sup,,unilat,loc-pitch,methodB,lat,pattB,ineuni,sup,b
Sled Back to Forward Acceleration,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Sled%20Back%20to%20Forward%20Acceleratio_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_e32b5c60-e6dd-4b3c-b94f-47502054c5f8.png,FALSE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,1.422857143,as,,bilat,loc-home,methodC,lin,pattC,elbil,as,c
Skull Crusher - DB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Skull%20Crasher%20-%20DB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_562372a4-fcbd-4dfb-9d99-0ea88b13d6b1.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,1.445714286,main,,quad,loc-gym,methodA,lat,pattA,eluni,main,a
Bulgarian Split Squat,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Skull%20Crasher%20-%20DB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_562372a4-fcbd-4dfb-9d99-0ea88b13d6b1.png,TRUE,,FALSE,temporalis,core,cardio:cardio-treadmill,1.445714286,main,,,loc-gym,,,,,,
